,S,X,UC,DC,I,admissions,contacts,N1,D1,colonized_incidence,c_cum,total,total_cum,acq_rate
0,10,10,1,0,0,1,709,0.125,0,0,0,21,21,0
1,9,6,1,0,0,0,567,0.166666667,0,0,0,16,37,0
2,11,6,2,0,0,9,711,0.083333333,0,0,0,19,56,0
3,7,6,3,0,0,6,600,0.125,0,1,1,16,72,13.88888889
4,9,9,2,0,0,11,721,0,0,0,1,20,92,10.86956522
5,10,9,2,0,0,8,760,0.041666667,0,1,2,21,113,17.69911504
6,6,5,4,0,0,4,546,0.041666667,0,1,3,15,128,23.4375
7,7,6,1,0,0,6,533,0.041666667,0,0,3,14,142,21.12676056
8,11,9,1,0,0,14,698,0.041666667,0,0,3,21,163,18.40490798
9,8,9,3,0,0,9,739,0.041666667,0.041666667,2,5,20,183,27.32240437
10,6,9,3,0,0,7,624,0.083333333,0,0,5,18,201,24.87562189
11,9,6,2,0,0,8,611,0,0.083333333,0,5,17,218,22.93577982
12,10,5,2,0,0,8,607,0.083333333,0.041666667,1,6,17,235,25.53191489
13,5,8,5,0,0,9,639,0.041666667,0.083333333,2,8,18,253,31.62055336
14,5,5,6,0,0,7,601,0.291666667,0.041666667,0,8,16,269,29.73977695
15,5,7,6,0,0,10,576,0.125,0,1,9,18,287,31.35888502
16,6,9,7,0,0,12,761,0.125,0.041666667,2,11,22,309,35.5987055
17,9,6,3,0,0,7,657,0.416666667,0,0,11,18,327,33.63914373
18,13,4,1,0,0,9,677,0.25,0.041666667,0,11,18,345,31.88405797
19,11,7,3,0,0,12,696,0.083333333,0.041666667,0,11,21,366,30.05464481
20,8,8,2,0,0,7,630,0,0.125,0,11,18,384,28.64583333
21,8,7,1,0,0,7,612,0.083333333,0,0,11,16,400,27.5
22,8,7,1,0,0,8,574,0.166666667,0.041666667,0,11,16,416,26.44230769
23,12,4,2,0,0,10,700,0.166666667,0,1,12,18,434,27.64976959
24,11,5,2,0,0,9,656,0.166666667,0.041666667,0,12,18,452,26.54867257
25,11,6,2,0,0,10,640,0.125,0,0,12,19,471,25.47770701
26,5,11,2,0,0,8,600,0.125,0,1,13,18,489,26.58486708
27,9,5,5,0,0,9,706,0.083333333,0.125,1,14,19,508,27.55905512
28,9,10,1,0,0,10,711,0.083333333,0,0,14,20,528,26.51515152
29,8,12,1,0,0,10,704,0.041666667,0,0,14,21,549,25.50091075
30,6,10,5,0,0,10,700,0.166666667,0,2,16,21,570,28.07017544
31,6,7,2,0,0,5,562,0.125,0.041666667,1,17,15,585,29.05982906
32,8,10,3,0,0,13,740,0.083333333,0.041666667,0,17,21,606,28.05280528
33,6,13,3,0,0,11,773,0.083333333,0.083333333,0,17,22,628,27.07006369
34,7,11,4,0,0,11,738,0.541666667,0.041666667,1,18,22,650,27.69230769
35,5,8,4,0,0,6,601,0.125,0,1,19,17,667,28.48575712
36,8,8,2,0,0,9,619,0.291666667,0,0,19,18,685,27.73722628
37,9,9,1,0,0,10,697,0,0,0,19,19,704,26.98863636
38,8,8,1,0,0,7,602,0.041666667,0,0,19,17,721,26.35228849
39,7,6,2,0,0,6,541,0.208333333,0,1,20,15,736,27.17391304
40,11,6,2,0,0,11,672,0.125,0,0,20,19,755,26.49006623
41,10,3,2,0,0,5,530,0,0,1,21,15,770,27.27272727
42,9,5,3,0,0,9,617,0.333333333,0,0,21,17,787,26.68360864
43,8,4,4,0,0,7,562,0.416666667,0.041666667,1,22,16,803,27.39726027
44,11,4,1,0,0,8,564,0.208333333,0,0,22,16,819,26.86202686
45,12,3,4,0,0,11,675,0.166666667,0.041666667,1,23,19,838,27.44630072
46,4,6,5,0,0,5,561,0.291666667,0.041666667,1,24,15,853,28.13599062
47,7,9,2,0,0,10,658,0.333333333,0,0,24,18,871,27.55453502
48,10,10,2,0,0,13,766,0.166666667,0.083333333,0,24,22,893,26.87569989
49,7,8,4,0,0,8,640,0.166666667,0.041666667,2,26,19,912,28.50877193
50,4,5,7,0,0,6,583,0.208333333,0,2,28,16,928,30.17241379
51,3,6,6,0,0,7,538,0.166666667,0,1,29,15,943,30.75291622
52,8,7,6,0,0,13,752,0.166666667,0,2,31,21,964,32.15767635
53,6,9,3,0,0,7,636,0.041666667,0,0,31,18,982,31.56822811
54,10,7,4,0,0,12,760,0.25,0,1,32,21,1003,31.90428714
55,11,5,6,0,0,11,776,0.583333333,0.041666667,1,33,22,1025,32.19512195
56,8,5,5,0,0,7,634,0.375,0,0,33,18,1043,31.63950144
57,7,3,4,0,0,5,517,0.458333333,0.041666667,1,34,14,1057,32.16650899
58,10,5,3,0,0,11,656,0.083333333,0.041666667,0,34,18,1075,31.62790698
59,9,4,3,0,0,7,589,0.291666667,0.041666667,1,35,16,1091,32.08065995
60,7,6,6,0,0,11,645,0.083333333,0,1,36,19,1110,32.43243243
61,8,3,6,0,0,7,634,0.125,0.083333333,0,36,17,1127,31.94321207
62,10,4,6,0,0,11,743,0.125,0,0,36,20,1147,31.38622493
63,6,10,5,0,0,11,759,0.416666667,0,0,36,21,1168,30.82191781
64,3,12,1,0,0,5,559,0.333333333,0,0,36,16,1184,30.40540541
65,7,10,4,0,0,13,755,0.083333333,0,1,37,21,1205,30.70539419
66,8,6,2,0,0,5,580,0,0,0,37,16,1221,30.3030303
67,6,7,3,0,0,8,566,0.083333333,0,1,38,16,1237,30.71948262
68,7,8,1,0,0,8,535,0,0,0,38,16,1253,30.32721468
69,7,12,3,0,0,14,822,0.291666667,0,0,38,22,1275,29.80392157
70,8,11,2,0,0,10,749,0.041666667,0.041666667,0,38,21,1296,29.32098765
71,10,9,1,0,0,9,670,0.416666667,0,0,38,20,1316,28.87537994
72,10,10,2,0,0,12,804,0.083333333,0,0,38,22,1338,28.40059791
73,5,10,1,0,0,5,620,0,0,0,38,16,1354,28.06499261
74,5,10,1,0,0,8,590,0,0,0,38,16,1370,27.73722628
75,4,11,1,0,0,8,608,0.083333333,0,0,38,16,1386,27.41702742
76,8,10,3,0,0,13,748,0.041666667,0.041666667,0,38,21,1407,27.00781805
77,6,13,2,0,0,10,779,0.25,0,0,38,21,1428,26.61064426
78,7,8,4,0,0,8,703,0.208333333,0,2,40,19,1447,27.64340014
79,9,8,2,0,0,9,693,0,0,0,40,19,1466,27.2851296
80,8,12,2,0,0,12,802,0.083333333,0,0,40,22,1488,26.88172043
81,8,8,4,0,0,9,765,0.125,0,0,40,20,1508,26.52519894
82,5,8,2,0,0,5,544,0.083333333,0,0,40,15,1523,26.26395272
83,7,6,2,0,0,7,554,0.125,0,0,40,15,1538,26.00780234
84,10,6,1,0,0,9,609,0.125,0,0,40,17,1555,25.72347267
85,7,11,2,0,0,11,755,0,0.041666667,0,40,20,1575,25.3968254
86,8,7,5,0,0,10,747,0.083333333,0.041666667,0,40,20,1595,25.07836991
87,8,6,6,0,0,10,754,0.208333333,0.041666667,3,43,20,1615,26.625387
88,7,5,3,0,0,5,532,0.541666667,0,1,44,15,1630,26.99386503
89,11,5,4,0,0,12,722,0.25,0,1,45,20,1650,27.27272727
90,11,7,2,0,0,10,708,0.25,0,0,45,20,1670,26.94610778
91,9,10,1,0,0,10,726,0.083333333,0,0,45,20,1690,26.62721893
92,10,9,2,0,0,11,745,0,0,1,46,21,1711,26.88486265
93,8,7,1,0,0,5,574,0,0,0,46,16,1727,26.6357846
94,5,8,2,0,0,7,573,0.25,0.083333333,0,46,15,1742,26.40642939
